トラック,ユニット,音階,長さ,ベロシティ
0,0,C4,4,1
0,0,G3,4,1
0,1,C4,8,1
0,1,G3,8,1
0,2,D4,8,1
0,2,G3,8,1
0,3,E4,8,1
0,3,C4,8,1
0,4,E4,8,1
0,4,C4,8,1
0,5,G4,4,1
0,5,E4,4,1
0,6,E4,8,1
0,6,C4,8,1
0,7,E4,8,1
0,7,C4,8,1
0,8,D4,8,1
0,8,B3,8,1
0,9,D4,8,1
0,9,B3,8,1
0,10,C4,4,1
0,10,G3,4,1
0,11,R,4,1
0,12,E4,4,1
0,12,C4,4,1
0,12,G3,4,1
0,13,E4,8,1
0,13,G3,8,1
0,14,F4,8,1
0,14,C4,8,1
0,15,G4,4,1
0,15,E4,4,1
0,15,C4,4,1
0,16,C5,4,1
0,16,G4,4,1
0,16,E4,4,1
0,17,A4,4,1
0,17,F4,4,1
0,17,C4,4,1
0,18,C5,4,1
0,18,A4,4,1
0,18,F4,4,1
0,19,G4,4,1
0,19,E4,4,1
0,19,C4,4,1
0,20,R,4,1
0,21,C5,4,1
0,21,G4,4,1
0,21,E4,4,1
0,22,C5,4,1
0,22,G4,4,1
0,22,E4,4,1
0,23,B4,4,1
0,23,G4,4,1
0,23,E4,4,1
0,24,G4,4,1
0,24,C4,4,1
0,25,A4,8,1
0,25,F4,8,1
0,26,A4,8,1
0,26,F4,8,1
0,27,A4,8,1
0,27,F4,8,1
0,28,A4,8,1
0,28,F4,8,1
0,29,G4,4,1
0,29,D4,4,1
0,30,R,4,1
0,31,C4,4,1
0,31,G3,4,1
0,32,C4,8,1
0,32,G3,8,1
0,33,D4,8,1
0,33,G3,8,1
0,34,E4,8,1
0,34,C4,8,1
0,35,E4,8,1
0,35,C4,8,1
0,36,G4,4,1
0,36,E4,4,1
0,37,E4,8,1
0,37,C4,8,1
0,38,E4,8,1
0,38,C4,8,1
0,39,D4,8,1
0,39,B3,8,1
0,40,D4,8,1
0,40,B3,8,1
0,41,C4,2,1
0,41,G3,2,1
0,42,R,1,1
1,0,C3,4,1
1,1,G3,4,1
1,1,E3,4,1
1,2,C3,4,1
1,3,G3,4,1
1,3,E3,4,1
1,4,C3,4,1
1,5,D3,4,1
1,5,G2,4,1
1,6,C3,4,1
1,7,G3,4,1
1,7,E3,4,1
1,8,C3,8,1
1,9,G3,8,1
1,10,E3,8,1
1,11,G3,8,1
1,12,C3,8,1
1,13,G3,8,1
1,14,E3,8,1
1,15,G3,8,1
1,16,C3,8,1
1,17,A3,8,1
1,18,F3,8,1
1,19,A3,8,1
1,20,C3,8,1
1,21,G3,8,1
1,22,E3,8,1
1,23,G3,8,1
1,24,C3,8,1
1,25,G3,8,1
1,26,E3,8,1
1,27,G3,8,1
1,28,C3,8,1
1,29,G3,8,1
1,30,E3,8,1
1,31,G3,8,1
1,32,F2,8,1
1,33,F3,8,1
1,34,C3,8,1
1,35,F3,8,1
1,36,G2,8,1
1,37,G3,8,1
1,38,D3,8,1
1,39,G3,8,1
1,40,C3,4,1
1,41,G3,4,1
1,41,E3,4,1
1,42,C3,4,1
1,43,G3,4,1
1,43,E3,4,1
1,44,C3,4,1
1,45,D3,4,1
1,45,G2,4,1
1,46,E3,2,1
1,46,C3,2,1
1,47,R,1,1
